sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,total_marks,percentage_increase
44,1,87.0,1,87.0,Others,1,68.0,0,0,95.0,1,62.9,1,300000.0,399.9,0.0
45,0,77.0,1,73.0,Others,1,81.0,0,1,89.0,0,69.7,1,200000.0,389.7,-5.194805194805195
46,0,76.0,0,64.0,Central,2,72.0,2,0,58.0,1,66.53,0,0.0,336.53,-15.789473684210526
47,0,70.89,1,71.98,Others,2,65.6,0,0,68.0,1,71.63,0,0.0,348.1,1.5375934546480512
48,1,63.0,0,60.0,Central,1,57.0,0,1,78.0,0,54.55,1,204000.0,312.55,-4.761904761904762
49,1,63.0,1,62.0,Others,1,68.0,0,0,64.0,0,62.46,1,250000.0,319.46,-1.5873015873015872
50,0,50.0,1,37.0,Others,0,52.0,1,0,65.0,1,56.11,0,0.0,260.11,-26.0
51,0,75.2,0,73.2,Central,2,68.4,0,0,65.0,1,62.98,1,200000.0,344.78000000000003,-2.6595744680851063
52,1,54.4,0,61.12,Central,1,56.2,0,0,67.0,1,62.65,0,0.0,301.37,12.352941176470585
53,0,40.89,1,45.83,Others,1,53.0,0,0,71.2,1,65.49,0,0.0,276.41,12.081193445830271
54,1,80.0,1,70.0,Others,2,72.0,2,0,87.0,1,71.04,1,450000.0,380.04,-12.5
55,0,74.0,0,60.0,Others,2,69.0,0,0,78.0,1,65.56,1,216000.0,346.56,-18.91891891891892
56,1,60.4,0,66.6,Others,2,65.0,0,0,71.0,1,52.71,1,220000.0,315.71,10.264900662251648
57,1,63.0,1,71.4,Others,1,61.4,0,0,68.0,0,66.88,1,240000.0,330.68,13.333333333333341
58,1,68.0,0,76.0,Central,1,74.0,0,0,80.0,0,63.59,1,360000.0,361.59000000000003,11.76470588235294
59,1,74.0,0,62.0,Others,2,68.0,0,0,74.0,0,57.99,1,268000.0,335.99,-16.216216216216218
60,1,52.6,0,65.58,Others,2,72.11,2,0,57.6,0,56.66,1,265000.0,304.55,24.67680608365018
61,1,74.0,0,70.0,Central,2,72.0,0,1,60.0,0,57.24,1,260000.0,333.24,-5.405405405405405
62,1,84.2,0,73.4,Central,1,66.89,0,0,61.6,0,62.48,1,300000.0,348.57000000000005,-12.826603325415672
63,0,86.5,1,64.2,Others,2,67.4,2,0,59.0,0,59.69,1,240000.0,336.79,-25.780346820809246
64,1,61.0,1,70.0,Others,1,64.0,0,0,68.5,1,59.5,0,0.0,323.0,14.754098360655737
65,1,80.0,1,73.0,Others,1,75.0,0,0,61.0,0,58.78,1,240000.0,347.78,-8.75
66,1,54.0,1,47.0,Others,2,57.0,0,0,89.69,1,57.1,0,0.0,304.79,-12.962962962962962
67,1,83.0,1,74.0,Others,2,66.0,0,0,68.92,1,58.46,1,275000.0,350.38,-10.843373493975903
68,1,80.92,1,78.5,Others,1,67.0,0,0,68.71,0,60.99,1,275000.0,356.12,-2.990608007909048
69,0,69.7,0,47.0,Central,1,72.7,2,0,79.0,1,59.24,0,0.0,327.64,-32.568149210903876
70,1,73.0,0,73.0,Central,2,66.0,2,1,70.0,0,68.07,1,275000.0,350.07,0.0
71,1,82.0,1,61.0,Others,2,62.0,2,0,89.0,0,65.45,1,360000.0,359.45,-25.609756097560975
72,1,75.0,1,70.29,Others,1,71.0,0,0,95.0,0,66.94,1,240000.0,378.23,-6.279999999999991
73,1,84.86,1,67.0,Others,2,78.0,0,0,95.5,0,68.53,1,240000.0,393.89,-21.04642941315107
74,1,64.6,0,83.83,Others,1,71.72,0,0,86.0,0,59.75,1,218000.0,365.9,29.767801857585148
75,1,56.6,0,64.8,Central,1,70.2,0,0,84.27,0,67.2,1,336000.0,343.07,14.487632508833915
76,0,59.0,0,62.0,Others,1,77.5,0,0,74.0,1,67.0,0,0.0,339.5,5.084745762711865
77,0,66.5,1,70.4,Central,0,71.93,0,0,61.0,0,64.27,1,230000.0,334.1,5.864661654135347
78,1,64.0,1,80.0,Others,2,65.0,2,1,69.0,0,57.65,1,500000.0,335.65,25.0
79,1,84.0,1,90.9,Others,2,64.5,2,0,86.04,0,59.42,1,270000.0,384.86,8.21428571428572
80,0,69.0,0,62.0,Central,2,66.0,2,0,75.0,1,67.99,0,0.0,339.99,-10.144927536231885
81,0,69.0,1,62.0,Others,1,69.0,0,1,67.0,1,62.35,1,240000.0,329.35,-10.144927536231885
82,1,81.7,1,63.0,Others,2,67.0,0,1,86.0,0,70.2,1,300000.0,367.9,-22.888616891064874
83,1,63.0,0,67.0,Central,1,74.0,0,0,82.0,0,60.44,0,0.0,346.44,6.349206349206349
84,1,84.0,1,79.0,Others,2,68.0,2,1,84.0,0,66.69,1,300000.0,381.69,-5.952380952380952
85,1,70.0,0,63.0,Others,2,70.0,2,1,55.0,0,62.0,1,300000.0,320.0,-10.0
86,0,83.84,1,89.83,Others,1,77.2,0,1,78.74,0,76.18,1,400000.0,405.79,7.144561068702283
87,1,62.0,1,63.0,Others,1,64.0,0,0,67.0,0,57.03,1,220000.0,313.03,1.6129032258064515
88,1,59.6,0,51.0,Central,2,60.0,1,0,75.0,1,59.08,0,0.0,304.68,-14.429530201342283
89,0,66.0,0,62.0,Central,1,73.0,0,0,58.0,1,64.36,1,210000.0,323.36,-6.0606060606060606
90,0,84.0,1,75.0,Others,2,69.0,2,1,62.0,1,62.36,1,210000.0,352.36,-10.714285714285714
91,0,85.0,1,90.0,Others,1,82.0,0,0,92.0,0,68.03,1,300000.0,417.03,5.88235294117647
92,1,52.0,0,57.0,Central,1,50.8,0,0,67.0,1,62.79,0,0.0,289.59000000000003,9.615384615384617
93,0,60.23,0,69.0,Central,2,66.0,0,0,72.0,0,59.47,1,230000.0,326.70000000000005,14.560850074713604
94,1,52.0,0,62.0,Central,1,54.0,0,0,72.0,1,55.41,0,0.0,295.40999999999997,19.230769230769234
95,1,58.0,0,62.0,Central,1,64.0,0,0,53.88,0,54.97,1,260000.0,292.85,6.896551724137931
96,1,73.0,0,78.0,Others,1,65.0,0,1,95.46,0,62.16,1,420000.0,373.62,6.8493150684931505
97,0,76.0,0,70.0,Central,2,76.0,0,1,66.0,0,64.44,1,300000.0,352.44,-7.894736842105263
98,0,70.5,0,62.5,Others,1,61.0,0,0,93.91,0,69.03,0,0.0,356.93999999999994,-11.347517730496454
99,0,69.0,0,73.0,Central,1,65.0,0,0,70.0,0,57.31,1,220000.0,334.31,5.797101449275362
100,1,54.0,0,82.0,Others,1,63.0,2,0,50.0,0,59.47,0,0.0,308.47,51.85185185185185
101,0,45.0,1,57.0,Others,1,58.0,0,1,56.39,1,64.95,0,0.0,281.34,26.666666666666668
102,1,63.0,0,72.0,Central,1,68.0,0,0,78.0,1,60.44,1,380000.0,341.44,14.285714285714285
103,0,77.0,1,61.0,Others,1,68.0,0,1,57.5,0,61.31,1,300000.0,324.81,-20.77922077922078
104,1,73.0,0,78.0,Central,2,73.0,2,1,85.0,1,65.83,1,240000.0,374.83,6.8493150684931505
105,1,69.0,0,63.0,Others,2,65.0,0,1,55.0,1,58.23,1,360000.0,310.23,-8.695652173913043
106,1,59.0,0,64.0,Others,2,58.0,2,0,85.0,1,55.3,0,0.0,321.3,8.47457627118644
107,1,61.08,1,50.0,Others,2,54.0,2,0,71.0,0,65.69,0,0.0,301.77,-18.140144073346427
108,1,82.0,1,90.0,Others,1,83.0,0,0,80.0,1,73.52,1,200000.0,408.52,9.75609756097561
109,1,61.0,0,82.0,Central,1,69.0,0,0,84.0,0,58.31,1,300000.0,354.31,34.42622950819672
110,1,52.0,0,63.0,Others,2,65.0,2,1,86.0,1,56.09,0,0.0,322.09000000000003,21.153846153846153
111,0,69.5,0,70.0,Central,2,72.0,2,0,57.2,1,54.8,1,250000.0,323.5,0.7194244604316548
112,1,51.0,1,54.0,Others,2,61.0,2,0,60.0,1,60.64,0,0.0,286.64,5.88235294117647
113,1,58.0,1,61.0,Others,1,61.0,0,0,58.0,1,53.94,1,250000.0,291.94,5.172413793103448
114,0,73.96,1,79.0,Others,1,67.0,0,0,72.15,0,63.08,1,280000.0,355.19,6.814494321254741
115,1,65.0,0,68.0,Others,2,69.0,0,0,53.7,1,55.01,1,250000.0,310.71,4.615384615384616
116,0,73.0,1,63.0,Others,2,66.0,0,0,89.0,0,60.5,1,216000.0,351.5,-13.698630136986301
117,1,68.2,0,72.8,Central,1,66.6,0,1,96.0,0,70.85,1,300000.0,374.45000000000005,6.744868035190607
118,1,77.0,1,75.0,Others,2,73.0,2,0,80.0,0,67.05,1,240000.0,372.05,-2.5974025974025974
119,1,76.0,0,80.0,Central,2,78.0,2,1,97.0,1,70.48,1,276000.0,401.48,5.263157894736842
120,1,60.8,0,68.4,Central,1,64.6,0,1,82.66,0,64.34,1,940000.0,340.79999999999995,12.500000000000014
121,1,58.0,1,40.0,Others,2,59.0,0,0,73.0,1,58.81,0,0.0,288.81,-31.03448275862069
122,0,64.0,0,67.0,Others,2,69.6,2,1,55.67,1,71.49,1,250000.0,327.76,4.6875
123,0,66.5,0,66.8,Central,0,69.3,0,1,80.4,0,71.0,1,236000.0,354.0,0.4511278195488679
124,1,74.0,1,59.0,Others,1,73.0,0,1,60.0,1,56.7,1,240000.0,322.7,-20.27027027027027
125,1,67.0,0,71.0,Central,2,64.33,1,1,64.0,1,61.26,1,250000.0,327.59,5.970149253731343
126,0,84.0,0,73.0,Central,1,73.0,0,0,75.0,0,73.33,1,350000.0,378.33,-13.095238095238097
127,0,79.0,1,61.0,Others,2,75.5,2,1,70.0,0,68.2,1,210000.0,353.7,-22.78481012658228
128,0,72.0,1,60.0,Others,2,69.0,0,0,55.5,1,58.4,1,250000.0,314.9,-16.666666666666664
129,1,80.4,0,73.4,Central,2,77.72,2,1,81.2,1,76.26,1,400000.0,388.98,-8.70646766169154
130,1,76.7,0,89.7,Others,1,66.0,0,1,90.0,0,68.55,1,250000.0,390.95,16.94915254237288
131,1,62.0,0,65.0,Others,1,60.0,0,0,84.0,0,64.15,0,0.0,335.15,4.838709677419355
132,0,74.9,1,57.0,Others,2,62.0,1,1,80.0,0,60.78,1,360000.0,334.67999999999995,-23.898531375166897
133,1,67.0,1,68.0,Others,1,64.0,0,1,74.4,1,53.49,1,300000.0,326.89,1.4925373134328357
134,1,73.0,0,64.0,Others,1,77.0,0,1,65.0,1,60.98,1,250000.0,339.98,-12.32876712328767
135,0,77.44,0,92.0,Others,1,72.0,0,1,94.0,0,67.13,1,250000.0,402.57,18.801652892561986
136,0,72.0,0,56.0,Others,2,69.0,0,0,55.6,1,65.63,1,200000.0,318.23,-22.22222222222222
137,0,47.0,0,59.0,Central,0,64.0,0,0,78.0,0,61.58,0,0.0,309.58,25.53191489361702
138,1,67.0,1,63.0,Central,1,72.0,0,0,56.0,1,60.41,1,225000.0,318.40999999999997,-5.970149253731343
139,0,82.0,1,64.0,Others,2,73.0,2,1,96.0,0,71.77,1,250000.0,386.77,-21.951219512195124
140,1,77.0,0,70.0,Central,1,59.0,0,1,58.0,0,54.43,1,220000.0,318.43,-9.090909090909092
141,1,65.0,0,64.8,Others,1,69.5,0,1,56.0,0,56.94,1,265000.0,312.24,-0.3076923076923121
142,1,66.0,0,64.0,Central,2,60.0,0,0,60.0,1,61.9,0,0.0,311.9,-3.0303030303030303
143,1,85.0,0,60.0,Others,2,73.43,2,1,60.0,0,61.29,1,260000.0,339.72,-29.411764705882355
144,1,77.67,1,64.89,Others,1,70.67,0,0,89.0,0,60.39,1,300000.0,362.62,-16.45422943221321
145,1,52.0,1,50.0,Others,0,61.0,0,0,60.0,0,58.52,0,0.0,281.52,-3.8461538461538463
146,1,89.4,1,65.66,Others,2,71.25,2,0,72.0,1,63.23,1,400000.0,361.54,-26.554809843400456
147,1,62.0,0,63.0,Others,2,66.0,0,0,85.0,1,55.14,1,233000.0,331.14,1.6129032258064515
148,1,70.0,0,74.0,Central,1,65.0,0,0,83.0,0,62.28,1,300000.0,354.28,5.714285714285714
149,0,77.0,0,86.0,Central,0,56.0,1,0,57.0,0,64.08,1,240000.0,340.08,11.688311688311687
150,1,44.0,0,58.0,Central,0,55.0,0,1,64.25,1,58.54,0,0.0,279.79,31.818181818181817
151,1,71.0,0,58.66,Central,2,58.0,2,1,56.0,0,61.3,1,690000.0,304.96,-17.38028169014085
152,1,65.0,0,65.0,Central,1,75.0,0,0,83.0,0,58.87,1,270000.0,346.87,0.0
153,0,75.4,1,60.5,Central,2,84.0,2,0,98.0,0,65.25,1,240000.0,383.15,-19.761273209549078
154,1,49.0,1,59.0,Others,2,65.0,2,1,86.0,0,62.48,1,340000.0,321.48,20.408163265306122
155,1,53.0,0,63.0,Others,2,60.0,0,1,70.0,0,53.2,1,250000.0,299.2,18.867924528301888
156,1,51.57,1,74.66,Others,1,59.9,0,1,56.15,1,65.99,0,0.0,308.27,44.774093465192934
157,1,84.2,0,69.4,Central,2,65.0,2,1,80.0,1,52.72,1,255000.0,351.32000000000005,-17.577197149643702
158,1,66.5,0,62.5,Central,1,60.9,0,0,93.4,0,55.03,1,300000.0,338.33000000000004,-6.015037593984962
159,1,67.0,1,63.0,Others,2,64.0,2,0,60.0,0,61.87,0,0.0,315.87,-5.970149253731343
160,1,52.0,0,49.0,Others,1,58.0,0,0,62.0,1,60.59,0,0.0,281.59000000000003,-5.769230769230769
161,1,87.0,0,74.0,Central,2,65.0,2,1,75.0,1,72.29,1,300000.0,373.29,-14.942528735632186
162,1,55.6,1,51.0,Others,1,57.5,0,0,57.63,1,62.72,0,0.0,284.45,-8.27338129496403
163,1,74.2,0,87.6,Others,1,77.25,0,1,75.2,0,66.06,1,285000.0,380.31,18.05929919137465
164,1,63.0,1,67.0,Others,2,64.0,2,0,75.0,0,66.46,1,500000.0,335.46,6.349206349206349
165,0,67.16,0,72.5,Central,1,63.35,0,0,53.04,0,65.52,1,250000.0,321.57,7.951161405598577
166,0,63.3,0,78.33,Others,1,74.0,0,0,80.0,0,74.56,0,0.0,370.19,23.74407582938389
167,1,62.0,1,62.0,Others,1,60.0,0,1,63.0,1,52.38,1,240000.0,299.38,0.0
168,1,67.9,1,62.0,Others,2,67.0,2,1,58.1,0,75.71,0,0.0,330.71,-8.68924889543447
169,0,48.0,0,51.0,Central,1,58.0,0,1,60.0,1,58.79,0,0.0,275.79,6.25
170,1,59.96,1,42.16,Others,2,61.26,2,0,54.48,1,65.48,0,0.0,283.34,-29.686457638425622
171,0,63.4,1,67.2,Others,1,60.0,0,0,58.06,1,69.28,0,0.0,317.94,5.993690851735023
172,1,80.0,1,80.0,Others,1,72.0,0,1,63.79,0,66.04,1,290000.0,361.83000000000004,0.0
173,1,73.0,1,58.0,Others,1,56.0,0,0,84.0,1,52.64,1,300000.0,323.64,-20.54794520547945
174,0,52.0,1,52.0,Others,2,55.0,2,0,67.0,1,59.32,0,0.0,285.32,0.0
175,1,73.24,1,50.83,Others,2,64.27,2,1,64.0,0,66.23,1,500000.0,318.57,-30.59803386127799
176,1,63.0,1,62.0,Others,2,65.0,2,0,87.5,1,60.69,0,0.0,338.19,-1.5873015873015872
177,0,59.0,0,60.0,Others,1,56.0,0,0,55.0,1,57.9,1,220000.0,287.9,1.694915254237288
178,0,73.0,0,97.0,Others,1,79.0,0,1,89.0,0,70.81,1,650000.0,408.81,32.87671232876712
179,1,68.0,1,56.0,Others,2,68.0,2,0,73.0,1,68.07,1,350000.0,333.07,-17.647058823529413
180,0,77.8,0,64.0,Central,2,64.2,2,0,75.5,1,72.14,0,0.0,353.64,-17.73778920308483
181,1,65.0,0,71.5,Others,1,62.8,0,1,57.0,0,56.6,1,265000.0,312.90000000000003,10.0
182,1,62.0,0,60.33,Others,2,64.21,2,0,63.0,1,60.02,0,0.0,309.56,-2.693548387096777
183,1,52.0,1,65.0,Others,0,57.0,1,1,75.0,0,59.81,0,0.0,308.81,25.0
184,1,65.0,0,77.0,Central,1,69.0,0,0,60.0,1,61.82,1,276000.0,332.82,18.461538461538463
185,0,56.28,1,62.83,Others,1,59.79,0,0,60.0,1,57.29,0,0.0,296.19,11.638237384506036
186,0,88.0,0,72.0,Central,2,78.0,1,0,82.0,1,71.43,1,252000.0,391.43,-18.181818181818183
187,0,52.0,0,64.0,Central,1,61.0,0,0,55.0,0,62.93,0,0.0,294.93,23.076923076923077
188,1,78.5,0,65.5,Central,2,67.0,2,1,95.0,0,64.86,1,280000.0,370.86,-16.560509554140125
189,1,61.8,1,47.0,Others,1,54.38,0,0,57.0,0,56.13,0,0.0,276.31,-23.948220064724914
190,0,54.0,0,77.6,Others,1,69.2,0,0,95.65,0,66.94,0,0.0,363.39000000000004,43.703703703703695
191,0,64.0,1,70.2,Central,1,61.0,0,0,50.0,0,62.5,0,0.0,307.7,9.687500000000004
192,1,67.0,1,61.0,Central,2,72.0,0,0,72.0,0,61.01,1,264000.0,333.01,-8.955223880597014
193,1,65.2,0,61.4,Central,1,64.8,0,1,93.4,0,57.34,1,270000.0,342.14,-5.828220858895712
194,0,60.0,0,63.0,Central,0,56.0,1,1,80.0,1,56.63,1,300000.0,315.63,5.0
195,1,52.0,1,55.0,Others,1,56.3,0,0,59.0,0,64.74,0,0.0,287.04,5.769230769230769
196,1,66.0,0,76.0,Central,1,72.0,0,1,84.0,1,58.95,1,275000.0,356.95,15.151515151515152
197,1,72.0,1,63.0,Others,2,77.5,2,1,78.0,0,54.48,1,250000.0,344.98,-12.5
198,0,83.96,1,53.0,Others,2,91.0,2,0,59.32,1,69.71,1,260000.0,356.98999999999995,-36.8747022391615
199,0,67.0,0,70.0,Central,1,65.0,1,0,88.0,1,71.96,0,0.0,361.96,4.477611940298507
200,1,69.0,1,65.0,Others,1,57.0,0,0,73.0,1,55.8,1,265000.0,319.8,-5.797101449275362
201,1,69.0,1,60.0,Others,1,65.0,0,0,87.55,0,52.81,1,300000.0,334.36,-13.043478260869565
202,1,54.2,0,63.0,Others,2,58.0,0,0,79.0,1,58.44,0,0.0,312.64,16.23616236162361
203,1,70.0,0,63.0,Central,2,66.0,2,0,61.28,1,60.11,1,240000.0,320.39,-10.0
204,1,55.68,1,61.33,Others,1,56.87,0,0,66.0,1,58.3,1,260000.0,298.18,10.147270114942526
205,0,74.0,1,73.0,Others,1,73.0,0,1,80.0,0,67.69,1,210000.0,367.69,-1.3513513513513513
206,1,61.0,1,62.0,Others,1,65.0,0,0,62.0,0,56.81,1,250000.0,306.81,1.639344262295082
207,1,41.0,0,42.0,Central,2,60.0,0,0,97.0,0,53.39,0,0.0,293.39,2.4390243902439024
208,1,83.33,0,78.0,Others,1,61.0,0,1,88.56,0,71.55,1,300000.0,382.44,-6.396255850234008
209,0,43.0,0,60.0,Others,2,65.0,0,0,92.66,1,62.92,0,0.0,323.58,39.53488372093023
210,1,62.0,0,72.0,Central,1,65.0,0,0,67.0,0,56.49,1,216000.0,322.49,16.129032258064516
211,1,80.6,1,82.0,Others,1,77.6,0,0,91.0,0,74.49,1,400000.0,405.69,1.7369727047146473
212,1,58.0,1,60.0,Others,2,72.0,2,0,74.0,0,53.62,1,275000.0,317.62,3.4482758620689653
213,1,67.0,1,67.0,Others,1,73.0,0,1,59.0,0,69.72,1,295000.0,335.72,0.0
214,0,74.0,1,66.0,Others,1,58.0,0,0,70.0,1,60.23,1,204000.0,328.23,-10.81081081081081
215,1,62.0,0,58.0,Others,2,53.0,0,0,89.0,1,60.22,0,0.0,322.22,-6.451612903225806
